,Incident year,Number of Dead,Lat,Long
483,2016,1.0,28.6376735, -100.5282163
484,2016,1.0,17.3186939, -100.4140054
485,2016,1.0,32.3405, -113.10417
486,2016,28.0,27.7150873, -99.9079019
487,2016,1.0,27.7155889, -99.6987461
488,2016,1.0,27.492611, -99.542403
489,2016,1.0,27.1334908, -103.434484
490,2016,1.0,32.043439, -110.085624
491,2016,1.0,24.215586, -99.4332699
492,2016,1.0,32.121896, -111.570383
493,2016,1.0,31.85435, -110.43783
494,2016,1.0,27.4531416, -99.6146319
495,2016,1.0,31.9639, -112.36573
496,2016,1.0,28.6376735, -100.5282163
497,2016,1.0,32.4995, -113.0767
498,2016,1.0,31.83173, -111.970117
499,2016,1.0,31.7947, -111.82171
500,2016,1.0,27.1334908, -103.434484
501,2016,1.0,31.7945, -111.91465
502,2016,1.0,32.283693, -109.82634
503,2016,1.0,28.4226837, -100.0344494
504,2016,1.0,27.0116055, -98.3848503
505,2016,1.0,28.6376735, -100.5282163
506,2016,1.0,27.1334908, -103.434484
507,2016,1.0,31.783867, -106.5710142
508,2016,1.0,32.496983, -112.305567
509,2016,1.0,32.10145, -112.69731
510,2016,1.0,32.6308885, -116.948898
511,2016,1.0,26.5101629, -99.0262463
512,2016,1.0,32.1278, -112.40978
513,2016,1.0,31.97766, -112.9993
514,2016,1.0,24.0227185, -103.1723435
515,2016,1.0,31.82416, -111.03825
516,2016,1.0,31.3643087, -110.9681395
517,2016,1.0,31.702133, -111.99385
518,2016,1.0,31.970833, -110.886417
519,2016,1.0,32.300783, -111.381833
520,2016,1.0,31.811967, -111.841117
521,2016,1.0,28.6376735, -100.5282163
522,2016,1.0,24.215586, -99.4332699
523,2016,1.0,29.7898371, -101.5026165
524,2016,1.0,31.686567, -111.999917
525,2016,1.0,31.44765, -111.30885
526,2016,1.0,26.376354, -98.3833477
527,2016,1.0,31.710317, -111.988583
528,2016,1.0,26.376354, -98.3833477
529,2016,1.0,27.7856567, -99.8800832
530,2016,1.0,24.215586, -99.4332699
531,2016,1.0,35.2325495, -100.5998558
532,2016,1.0,32.328607, -111.368233
533,2016,1.0,26.1490665, -97.6906534
534,2016,1.0,31.848783, -111.926567
535,2016,1.0,28.51685009, -100.3109027503
536,2016,1.0,32.00778, -112.16171
537,2016,1.0,29.33281, -100.94093
538,2016,1.0,31.6238017, -111.0627679
539,2016,1.0,31.827017, -111.400483
540,2016,1.0,31.551221, -110.920977
541,2016,1.0,28.6376735, -100.5282163
542,2016,1.0,31.836283, -111.938633
543,2016,6.0,24.215586, -99.4332699
544,2016,1.0,30.7222309, -112.1767124
545,2016,1.0,31.974983, -112.81815
546,2016,1.0,31.699183, -111.429183
547,2016,1.0,35.2210911, -119.6342853
548,2016,1.0,31.7636254, -106.3695652
549,2016,1.0,27.1334908, -103.434484
550,2016,1.0,32.164517, -111.884317
551,2016,1.0,32.17448, -111.24988
552,2016,1.0,31.665533, -111.821917
553,2016,1.0,27.4531416, -99.6148525
554,2016,1.0,27.4531416, -99.6148525
555,2016,1.0,32.734444, -111.492361
556,2016,1.0,27.1334908, -103.434484
557,2016,1.0,32.530115, -112.137385
558,2016,1.0,31.665232, -111.774526
559,2016,1.0,31.898717, -111.145517
560,2016,1.0,32.00365, -112.66553
561,2016,1.0,31.98618, -112.1196
562,2016,1.0,27.7921754, -99.8707594
563,2016,1.0,32.176389, -109.086389
564,2016,25.0,27.68836, -99.2525
565,2016,1.0,31.846033, -112.658867
566,2016,1.0,28.703061, -100.510967
567,2016,1.0,31.71405, -111.88878
568,2016,1.0,31.73753, -111.92515
569,2016,1.0,31.75668, -112.06646
570,2016,1.0,32.534017, -111.868567
571,2016,1.0,32.534017, -111.868567
572,2016,1.0,31.844233, -112.129717
573,2016,,27.1334908, -103.434484
574,2016,1.0,32.069017, -112.97895
575,2016,1.0,27.1334908, -103.434484
576,2016,1.0,32.78415, -112.473983
577,2016,1.0,28.74436816, -100.4689656749
578,2016,1.0,32.385, -113.106033
579,2016,1.0,32.269733, -113.3062
580,2016,1.0,32.269733, -113.306
581,2016,1.0,28.6611418, -100.5690166
582,2016,1.0,27.1334908, -103.434484
583,2016,1.0,32.12895, -112.976266
584,2016,1.0,31.8802, -111.374733
585,2016,1.0,31.865817, -111.316683
586,2016,1.0,31.86601, -111.29951
587,2016,1.0,32.205833, -111.686283
588,2016,1.0,28.6913529, -100.5748614
589,2016,1.0,31.62525, -111.8471
590,2016,1.0,33.0249505, -115.8450245
591,2016,1.0,32.091833, -112.9795
592,2016,1.0,24.215586, -99.4332699
593,2016,1.0,28.6621785, -100.5764844
594,2016,2.0,24.215586, -99.4332699
595,2016,1.0,32.140133, -112.988433
596,2016,1.0,32.1396, -112.9909
597,2016,1.0,31.748933, -110.17615
598,2016,1.0,32.26370999, -105.430636975
599,2016,1.0,27.7345075, -97.4065528
600,2016,1.0,31.723883, -112.106567
601,2016,1.0,27.4531416, -99.6148525
602,2016,1.0,32.5788, -112.07773
603,2016,1.0,27.4531416, -99.6146319
604,2016,1.0,31.724167, -111.9245
605,2016,1.0,32.26808, -111.91801
606,2016,1.0,31.8707, -112.7542
607,2016,1.0,27.1334908, -103.434484
608,2016,1.0,31.896033, -111.670983
609,2016,1.0,31.831217, -111.918133
610,2016,5.0,27.7150873, -99.9079019
611,2016,1.0,32.287367, -111.691233
612,2016,1.0,31.91564, -111.7579
613,2016,1.0,32.03843, -113.02141
614,2016,1.0,31.5011, -111.44025
615,2016,1.0,31.986783, -112.99865
616,2016,1.0,31.980933, -112.139183
617,2016,1.0,32.14, -112.851833
618,2016,1.0,31.92948, -111.88075
619,2016,1.0,31.871233, -110.419
620,2016,1.0,32.37812, -113.11867
621,2016,1.0,32.0983, -113.00742
622,2016,1.0,31.871983, -112.735917
623,2016,1.0,32.657333, -112.754
624,2016,1.0,28.640084, -100.5886411
625,2016,1.0,32.01581, -111.26681
626,2016,1.0,32.001303, -110.984272
627,2016,1.0,24.215586, -99.4332699
628,2016,1.0,29.942368, -104.3730091
629,2016,18.0,26.376354, -98.3833477
630,2016,16.0,27.688366, -99.25259
631,2016,1.0,31.749483, -111.615983
632,2016,1.0,32.781117, -112.548317
633,2016,1.0,31.888854, -111.385888
634,2016,1.0,32.84785, -113.2995
635,2016,1.0,32.846261, -112.29039
636,2016,1.0,32.76809, -113.146834
637,2016,1.0,32.840117, -112.6005
638,2016,1.0,32.840117, -112.6004
639,2016,1.0,32.86633, -113.156012
640,2016,1.0,32.854033, -113.030283
641,2016,1.0,32.782782, -112.952022
642,2016,1.0,31.66715, -111.831817
643,2016,1.0,32.662567, -112.24245
644,2016,1.0,33.15088, -112.39065
645,2016,1.0,32.686317, -112.228633
646,2017,1.0,32.1117, -112.9925
647,2017,1.0,31.91683, -112.93808
648,2017,1.0,26.0858723, -98.2557676
649,2017,1.0,31.700433, -111.700666
650,2017,1.0,32.31711, -113.13486
651,2017,1.0,32.31711, -113.13483
652,2017,1.0,32.30597, -113.09133
653,2017,1.0,27.0227822, -98.5412384
